Tabla 1
Rubro,Código Sistema,Codigo,"Nombre (Producto,Servicio,Paquete)",C.U. Enero,C.U. Febrero,C.U. Marzo,C.U. Abril,C.U. Mayo,C.U. Junio,C.U. Julio,C.U. Agosto,C.U. Septiembre,C.U. Octubre,C.U. Noviembre2,C.U. Diciembre,
ARAMSA,R01AV38450,807329,'807329 - PAPA RECTA 3/8 ORIGINAL 450 Grs, 	345.66 , 	345.66 , 	345.66 , 	345.66 , 	345.66 ,,,,,,,,
ARAMSA,R01AVKR1KG,807769,'807769 - PAPA CORTE RECTO 1 KILO 1000 GRS, 	347.06 , 	347.06 , 	347.06 , 	347.06 , 	347.06 ,,,,,,,,
CC KAIDA1,505015,505015,FROZEN STRAIGHT CUT 3/8 FRIES, 	261.00 , 	261.00 , 	261.00 , 	261.00 , 	261.00 ,,,,,,,,
CC KAIDA2,505015,505015,FROZEN STRAIGHT CUT 3/8 FRIES, 	261.00 , 	261.00 , 	261.00 , 	261.00 , 	261.00 ,,,,,,,,
CC KAIDA3,505015,505015,FROZEN STRAIGHT CUT 3/8 FRIES, 	261.00 , 	261.00 , 	261.00 , 	261.00 , 	261.00 ,,,,,,,,
CC KAIDA4,505015,505015,FROZEN STRAIGHT CUT 3/8 FRIES, 	261.00 , 	261.00 , 	261.00 , 	261.00 , 	261.00 ,,,,,,,,
CC CASTEL,260612,260612,260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	243.50 , 	243.50 , 	243.50 , 	243.50 , 	243.50 ,,,,,,,,
CC CASTEL1,260612,260612,260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	243.50 , 	243.50 , 	224.00 , 	224.00 , 	224.00 ,,,,,,,,
CC CASTEL2,260612,260612,260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	243.50 , 	243.50 , 	224.00 , 	224.00 , 	224.00 ,,,,,,,,
CS,260612,260612,'260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	298.86 , 	298.86 , 	298.86 , 	298.86 , 	298.86 ,,,,,,,,
CS,802142,802142,'802142 - AVK PAPA CORTE RECTO 3/8 (4x2.5 Kg), 	291.71 , 	291.71 , 	291.71 , 	291.71 , 	291.71 ,,,,,,,,
cs,804104,804104,804104 - AVK TRIANGULO HASHBROWNS (4x2.5 Kg), 	369.36 , 	369.36 , 	369.36 , 	369.36 , 	369.36 ,,,,,,,,
CS,804109,804109,AVIKO SHOESTRING 5X2500G, 	424.92 , 	361.20 , 	370.16 , 	370.16 , 	370.16 ,,,,,,,,
CS,804661,804661,AVIKO STEAK FRIES 4X2500G 4X5.5 LBS, 	329.94 , 	329.94 , 	329.94 , 	329.94 , 	329.94 ,,,,,,,,
CS,805168,805168,AVIKO AROS DE CEBOLLA PREFORMADO (25X400GR), 	608.65 , 	608.65 , 	608.65 , 	608.65 , 	608.65 ,,,,,,,,
CS,805411,805411,'805411 - AVK PAPA ZIG ZAG (12x750 Grs), 	340.91 , 	306.50 , 	306.50 , 	306.50 , 	306.50 ,,,,,,,,
CS,806685,806685,AVIKO H PREM. CRUNCH SHOESTRING 7MM 4X2270g, 	344.32 , 	297.01 , 	318.20 , 	318.20 , 	318.20 ,,,,,,,,
CS,806686,806686,AVIKO H. PREM CRUNCH 9.5mm  3/8 4X2270g, 	320.48 , 	297.01 , 	297.01 , 	297.01 , 	297.01 ,,,,,,,,
CS,806694,806694,AVIKO H SUPER CRUNCH 9.5MM 3/8 4X2500G, 	382.98 , 	325.08 , 	366.07 , 	366.07 , 	366.07 ,,,,,,,,
CS,806702,806702,SUPERCRUNCH THICK CUT 9/16 15MM 6X2.5 KG COATED, 	432.95 , 	432.95 , 	432.95 , 	432.95 , 	432.95 ,,,,,,,,
CS,806939,806939,AVIKO CRINKLE CUT FRIES 12MM 4X2500G, 	326.49 , 	287.37 , 	308.53 , 	308.53 , 	308.53 ,,,,,,,,
CS,806980,806980,AVIKO SPICY JACKET WEDGES 4X2500G, 	371.47 , 	371.47 , 	314.14 , 	314.14 , 	314.14 ,,,,,,,,
CS,806982,806982,'806982 - AVK AROS DE CEBOLLA (6x1 Kg), 	346.77 , 	346.77 , 	337.55 , 	337.55 , 	337.55 ,,,,,,,,
CS,807329,807329,'807329 - PAPA RECTA 3/8 ORIGINAL 450 Grs, 	356.34 , 	356.34 , 	356.34 , 	356.34 , 	356.34 ,,,,,,,,
CS,807363,807363,AVIKO SUPERCRUNCH 14 X 600 G, 	357.28 , 	357.28 , 	357.28 , 	357.28 , 	357.28 ,,,,,,,,
CS,807679,807679,'807679 - PAPA GAJO SAZONADO 500 Grs, 	388.31 , 	388.31 , 	386.98 , 	386.98 , 	386.98 ,,,,,,,,
CS,807769,807769,'807769 - PAPA CORTE RECTO 1 KILO 1000 GRS, 	346.43 , 	346.43 , 	346.43 , 	346.43 , 	346.43 ,,,,,,,,
CS,809529,809529,AVIKO SC AIRFR POMMES FRITES 10 X750 GR., 	353.79 , 	353.79 , 	353.79 , 	353.79 , 	353.79 ,,,,,,,,
CS,CF01,CF01,COMPLEMENTO DE FACTURACIÓN DIFERENCIA DE PRECIO, 	-   , 	-   , 	-   , 	-   , 	-   ,,,,,,,,
FARAON,102013,102013,102013 - PAPA RECTA 3/8. (4x 2.5 Kg), 	329.59 , 	329.59 , 	329.59 , 	329.59 , 	329.59 ,,,,,,,,
FARAON,105632,105632,FROZEN FRENCH FRIES 3/8 4X2.5 KG PREMIER GOLD, 	292.00 , 	292.00 , 	292.00 , 	292.00 , 	292.00 ,,,,,,,,
FARAON,260612,260612,PAPA CASTEL STRAIGHT CUT (4 X 2.5 KG), 	280.34 , 	280.34 , 	280.34 , 	280.34 ,280.34 ,,,,,,,,
FARAON,806686,806686,AVIKO H. PREM CRUNCH 9.5mm  3/8 4X2270g, 	278.08 , 	278.08 , 	278.08 , 	278.08 , 	278.08 ,,,,,,,,
GDL,102013,102013,'102013 - PAPA RECTA 3/8. (4x 2.5 Kg), 	281.47 , 	281.47 , 	253.12 , 	253.12 , 	253.12 ,,,,,,,,
GDL,102211,102211,'102211 - PAPA DELGADA 1/4. (4x 2.5 Kg), 	297.89 , 	297.89 , 	261.42 , 	261.42 , 	261.42 ,,,,,,,,
GDL,102310,102310,'102310 - PAPA DELGADA 1/4 C/ COB.  (4x 2.5 Kg), 	363.33 , 	363.33 , 	363.33 , 	363.33 , 	363.33 ,,,,,,,,
GDL,102341,102341,'102341 - PAPA RECTA 3/8 C/ COB. (4x 2.5 Kg), 	277.21 , 	277.21 , 	301.54 , 	301.54 , 	301.54 ,,,,,,,,
GDL,102419,102419,'102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	293.80 , 	293.80 , 	257.25 , 	257.25 , 	257.25 ,,,,,,,,
GDL,104215,104215,'104215 - PAPA RECTA 3/8 C/ COB. Y CAS.  (4x 2.5 Kg), 	357.86 , 	357.86 , 	357.86 , 	357.86 , 	357.86 ,,,,,,,,
GDL,105632,105632,FROZEN FRENCH FRIES 3/8 4X2.5 KG PREMIER GOLD, 	281.47 , 	281.47 , 	281.47 , 	281.47 , 	281.47 ,,,,,,,,
GDL,114054,114054,'114054 - PAPA GAJO SAZONADO. (4x 2.5 Kg), 	359.94 , 	359.94 , 	330.25 , 	330.25 , 	330.25 ,,,,,,,,
GDL,260612,260612,'260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	270.45 , 	270.45 , 	270.45 , 	270.45 , 	270.45 ,,,,,,,,
GDL,806918,806918,AVIKO H SUPER LONG 9.5 MM SKIN ON 4X2500G, 	297.21 , 	297.21 , 	297.21 , 	297.21 , 	297.21 ,,,,,,,,
GDL,806980,806980,AVIKO SPICY JACKET WEDGES 4X2500G, 	360.56 , 	360.56 , 	360.56 , 	360.56 , 	360.56 ,,,,,,,,
GDL,806982,806982,806982 - AVK AROS DE CEBOLLA (6x1 Kg), 	340.16 , 	340.16 , 	340.16 , 	340.16 , 	340.16 ,,,,,,,,
GDL,807679,807679,'807679 - PAPA GAJO SAZONADO 500 Grs, 	382.67 , 	382.67 , 	382.67 , 	382.67 , 	382.67 ,,,,,,,,
GDL,01AVKARO,806982,806982 - AVK AROS DE CEBOLLA (6x1 Kg), 	340.16 , 	340.16 , 	340.16 , 	340.16 , 	340.16 ,,,,,,,,
GDL,01WER12,102419,102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	293.80 , 	293.80 , 	257.25 , 	257.25 , 	257.25 ,,,,,,,,
GDL,450411,450411,GAJO ADOB CHEF´S EXC, 	390.00 , 	390.00 , 	390.00 , 	390.00 , 	390.00 ,,,,,,,,
GDL,505015,505015,FROZEN STRAIGHT CUT 3/8 FRIES, 	256.35 , 	256.35 , 	256.35 , 	256.35 , 	256.35 ,,,,,,,,
GDL,R01AVGAJO,807679,'807679 - PAPA GAJO SAZONADO 500 Grs, 	351.46 , 	351.46 , 	351.46 , 	351.46 , 	351.46 ,,,,,,,,
MAY VLP,111435,111435,FROZEN HAS BROWNS 14*600 G, 	320.10 , 	320.10 , 	320.10 , 	320.10 , 	320.10 ,,,,,,,,
MAY VLP,802142,802142,AVIKO STRAIGHT CUT 3/8 4X2500G REG3, 	302.66 , 	302.66 , 	302.66 , 	302.66 , 	302.66 ,,,,,,,,
MAY VLP,804109,804109,AVIKO SHOESTRING 5X2500G, 	330.18 , 	330.18 , 	330.18 , 	330.18 , 	330.18 ,,,,,,,,
MAY VLP,806686,806686,AVIKO H. PREM CRUNCH 9.5mm  3/8 4X2270g, 	312.32 , 	312.32 , 	312.32 , 	312.32 , 	312.32 ,,,,,,,,
MAY VLP,806982,01AVKARO,102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	291.29 , 	291.29 , 	291.29 , 	291.29 , 	291.29 ,,,,,,,,
MAY VLP,01AGL01,01AGL01,PAPA ONDULADA 1/2 LUTOSA (4x2.5 kg.), 	390.00 , 	390.00 , 	390.00 , 	390.00 , 	390.00 ,,,,,,,,
may vlp,01AGL02,01AGL02,PAPA GAJO ADOBADA CHEF'S (4x2.5 KG), 	390.00 , 	390.00 , 	390.00 , 	390.00 , 	390.00 ,,,,,,,,
MAY VLP,01AVK38,802142,'802142 - AVK PAPA CORTE RECTO 3/8 (4x2.5 Kg), 	302.66 , 	302.66 , 	302.66 , 	302.66 , 	302.66 ,,,,,,,,
MAY VLP,01AVKARO,806982,'806982 - AVK AROS DE CEBOLLA (6x1 Kg), 	315.09 , 	315.09 , 	315.09 , 	315.09 , 	315.09 ,,,,,,,,
MAY VLP,01AVKCRISP,809025,'809025 - AVK CRISPYCHURROS ( 4X2.5 Kg.), 	200.65 , 	200.65 , 	200.65 , 	200.65 , 	200.65 ,,,,,,,,
MAY VLP,01AVKHASBR,804104,'804104 - AVK TRIANGULO HASHBROWNS (4x2.5 Kg), 	330.18 , 	330.18 , 	330.18 , 	330.18 , 	330.18 ,,,,,,,,
MAY VLP,01AVKROSTI,806957,'806957 - AVK ROSTI BITES (4x2.5 Kg), 	380.39 , 	380.39 , 	380.39 , 	380.39 , 	380.39 ,,,,,,,,
MAY VLP,01AVKRZIG,805411,'805411 - AVK PAPA ZIG ZAG (12x750 Grs), 	334.10 , 	334.10 , 	334.10 , 	334.10 , 	334.10 ,,,,,,,,
MAY VLP,01CAS38,260612,'260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	280.21 , 	280.21 , 	280.21 , 	280.21 , 	280.21 ,,,,,,,,
MAY VLP,01WER12,102419,'102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	291.29 , 	291.29 , 	255.06 , 	255.06 , 	255.06 ,,,,,,,,
MAY VLP,01WER14,102211,'102211 - PAPA DELGADA 1/4. (4x 2.5 Kg), 	295.35 , 	295.35 , 	259.20 , 	259.20 , 	259.20 ,,,,,,,,
MAY VLP,01WER14CC,102310,'102310 - PAPA DELGADA 1/4 C/ COB.  (4x 2.5 Kg), 	354.96 , 	354.96 , 	306.72 , 	306.72 , 	306.72 ,,,,,,,,
MAY VLP,01WER38,102013,'102013 - PAPA RECTA 3/8. (4x 2.5 Kg), 	305.51 , 	305.51 , 	305.51 , 	305.51 , 	305.51 ,,,,,,,,
may vlp,01WER38CC,102341,102341 - PAPA RECTA 3/8 C/ COB. (4x 2.5 Kg), 	282.60 , 	282.60 , 	282.60 , 	282.60 , 	282.60 ,,,,,,,,
MAY VLP,01WER38CCC,104215,'104215 - PAPA RECTA 3/8 C/ COB. Y CAS.  (4x 2.5 Kg), 	346.14 , 	346.14 , 	346.14 , 	346.14 , 	346.14 ,,,,,,,,
MAY VLP,01WERGAJO,114054,'114054 - PAPA GAJO SAZONADO. (4x 2.5 Kg), 	353.84 , 	353.84 , 	327.38 , 	327.38 , 	327.38 ,,,,,,,,
MAY VLP,01WERITA,114405,'114405 - PATATE FETTE, 	417.90 , 	417.90 , 	417.90 , 	417.90 , 	417.90 ,,,,,,,,
MAY VLP,02GDA01,02GDA01,HAMBURGUESA PARRILLERA PREM. ARRACHERA 150 gr. (Cj. 4.5 kg.), 	56.00 , 	56.00 , 	56.00 , 	56.00 , 	56.00 ,,,,,,,,
MAY VLP,02GDA02,02GDA02,HAMBURGUESA PARRILLERA PREM. SIRLOIN 150 gr.  (Cj. 4.5 kg.), 	56.00 , 	56.00 , 	56.00 , 	56.00 , 	56.00 ,,,,,,,,
MAY VLP,03GON01,03GON01,DEDOS DE QUESO 10 cm., 	115.00 , 	115.00 , 	115.00 , 	115.00 , 	115.00 ,,,,,,,,
MAY VLP,04ADI01,04ADI01,ALITA MISCUT 20 KG, 	36.00 , 	36.00 , 	36.00 , 	36.00 , 	36.00 ,,,,,,,,
MAY VLP,04CMAR06,04CMAR06,NUGGET EMPANIZADO Freskecito (4 bolsas), 	51.90 , 	51.90 , 	51.90 , 	51.90 , 	51.90 ,,,,,,,,
MAY VLP,04CRE02,04CRE02,CARNE P/ HAMBURGUESA POLLO (5x2 kg.), 	570.00 , 	570.00 , 	570.00 , 	570.00 , 	570.00 ,,,,,,,,
MAY VLP,04CYC01,04CYC01,BONELESS CH. (5x2 kg.)," 	1,086.29 "," 	1,086.29 "," 	1,086.29 "," 	1,086.29 "," 	1,086.29 ",,,,,,,,
MAY VLP,04FQD02,04FQD02,NUGGET DE PECHUGA EMP. CRUNCHY (6x2 KG), 	727.20 , 	727.20 , 	727.20 , 	727.20 , 	727.20 ,,,,,,,,
MAY VLP,04GON02,04GON02,ALITA 1-2 ADOBADA 1 kg., 	75.00 , 	75.00 , 	75.00 , 	75.00 , 	75.00 ,,,,,,,,
MAY VLP,04JAL01,04JAL01,NUGGET DINO PREMIUM 10 KG (5x2 kg), 	670.00 , 	670.00 , 	670.00 , 	670.00 , 	670.00 ,,,,,,,,
MAY VLP,04RIH01,04RIH01,BONELL (5x2 kg.), 	114.00 , 	114.00 , 	114.00 , 	114.00 , 	114.00 ,,,,,,,,
MAY VLP,04RIH02,04RIH02,NUGGET DINOSAURIO MAXI (6x2 kg.), 	864.00 , 	864.00 , 	864.00 , 	864.00 , 	864.00 ,,,,,,,,
MAY VLP,05CRE03,05CRE03,PIÑA EN ALMIBAR (BOLSA 2.3 kg), 	571.52 , 	571.52 , 	571.52 , 	571.52 , 	571.52 ,,,,,,,,
may vlp,05CRE25,05CRE25,SALSA PARA PIZZA, 	630.00 , 	630.00 , 	630.00 , 	630.00 , 	630.00 ,,,,,,,,
MAY VLP,05NFI01,05NFI01,PIÑA EN ALMIBAR EN TROZO 2.85 KG (CAJA 6 PZ.), 	771.00 , 	771.00 , 	771.00 , 	771.00 , 	771.00 ,,,,,,,,
may vlp,505015,505015,FROZEN STRAIGHT CUT 3/8 FRIES, 	256.56 , 	256.56 , 	256.56 , 	256.56 , 	256.56 ,,,,,,,,
MAY VLP,R01AV38450,807329,'807329 - PAPA RECTA 3/8 ORIGINAL 450 Grs, 	344.73 , 	344.73 , 	344.73 , 	344.73 , 	344.73 ,,,,,,,,
MAY VLP,R01AVGAJO,807679,'807679 - PAPA GAJO SAZONADO 500 Grs, 	381.44 , 	381.44 , 	381.44 , 	381.44 , 	381.44 ,,,,,,,,
MAY VLP,R01AVKR1KG,807769,'807769 - PAPA CORTE RECTO 1 KILO 1000 GRS, 	345.32 , 	345.32 , 	345.32 , 	345.32 , 	345.32 ,,,,,,,,
MAY VLP,R06CAMP06,R06CAMP06,MANGO CON CHAMOY 226 Grs, 	260.08 , 	260.08 , 	260.08 , 	260.08 , 	260.08 ,,,,,,,,
MAY VLP,R06CAMP08,R06CAMP08,MEZCLA DE MORAS PURE-PAK 24/226 Grs, 	307.15 , 	307.15 , 	307.15 , 	307.15 , 	307.15 ,,,,,,,,
MAY VLP,R06CAMP09,R06CAMP09,MANGO PURE-PAK 226 Grs, 	260.00 , 	260.00 , 	260.00 , 	260.00 , 	260.00 ,,,,,,,,
MAY VLP,R06CAMPFC,R06CAMPFC,'7501110400054 - FRESAS CONGELADAS 500 Grs, 	761.00 , 	761.00 , 	761.00 , 	761.00 , 	761.00 ,,,,,,,,
MAY VLP,R06CAMPFCC,R06CAMPFCC,'7501110400047 - FRESAS CONGELADAS C/ CREMA 283 Grs, 	303.80 , 	303.80 , 	303.80 , 	303.80 , 	303.80 ,,,,,,,,
MAY VLP,R06VLP01,R06VLP01,101749 - MEZCLA CALIFORNIA IQF (20X500 g.), 	353.80 , 	353.80 , 	353.80 , 	353.80 , 	353.80 ,,,,,,,,
MEN VLP,260612,01CAS38,102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	291.29 , 	291.29 , 	291.29 , 	291.29 , 	291.29 ,,,,,,,,
MEN VLP,802142,802142,AVIKO STRAIGHT CUT 3/8 4X2500G REG3, 	302.66 , 	302.66 , 	302.66 , 	302.66 , 	302.66 ,,,,,,,,
MEN VLP,804104,804104,804104 - AVK TRIANGULO HASHBROWNS (4x2.5 Kg), 	330.18 , 	330.18 , 	330.18 , 	330.18 , 	330.18 ,,,,,,,,
MEN VLP,804109,804109,AVIKO SHOESTRING 5X2500G, 	300.32 , 	300.32 , 	300.32 , 	300.32 , 	300.32 ,,,,,,,,
MEN VLP,806685,806685,AVIKO H PREM. CRUNCH SHOESTRING 7MM 4X2270g, 	381.21 , 	381.21 , 	381.21 , 	381.21 , 	381.21 ,,,,,,,,
MEN VLP,806686,806686,AVIKO H. PREM CRUNCH 9.5mm  3/8 4X2270g, 	312.32 , 	312.32 , 	312.32 , 	312.32 , 	312.32 ,,,,,,,,
MEN VLP,01AGL01,01AGL01,PAPA ONDULADA 1/2 LUTOSA (4x2.5 kg.), 	390.00 , 	390.00 , 	390.00 , 	390.00 , 	390.00 ,,,,,,,,
MEN VLP,01AGL02,01AGL02,PAPA GAJO ADOBADA CHEF'S (4x2.5 KG), 	390.00 , 	390.00 , 	390.00 , 	390.00 , 	390.00 ,,,,,,,,
MEN VLP,01AGL03,01AGL03,ARO DE CEBOLLA LUTUOSA (6x1 kg), 	390.00 , 	390.00 , 	390.00 , 	390.00 , 	390.00 ,,,,,,,,
MEN VLP,01AVKARO,806982,'806982 - AVK AROS DE CEBOLLA (6x1 Kg), 	315.09 , 	315.09 , 	315.09 , 	315.09 , 	315.09 ,,,,,,,,
MEN VLP,01AVKCRISP,809025,102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	291.29 , 	291.29 , 	291.29 , 	291.29 , 	291.29 ,,,,,,,,
MEN VLP,01AVKHASBR,804104,'804104 - AVK TRIANGULO HASHBROWNS (4x2.5 Kg), 	330.18 , 	330.18 , 	330.18 , 	330.18 , 	330.18 ,,,,,,,,
MEN VLP,01AVKRZIG,805411,'805411 - AVK PAPA ZIG ZAG (12x750 Grs), 	334.10 , 	334.10 , 	334.10 , 	334.10 , 	334.10 ,,,,,,,,
MEN VLP,01CAS38,260612,'260612 - PAPA CASTEL STRAIGHT CUT ( 4 x 2.5 Kg ), 	280.21 , 	280.21 , 	280.21 , 	280.21 , 	280.21 ,,,,,,,,
MEN VLP,01DDU02,01DDU02, PAPA REJILLA NATURAL CON CASCARA (6x1.82 kg.), 	689.94 , 	689.94 , 	689.94 , 	689.94 , 	689.94 ,,,,,,,,
MEN VLP,01VEG01,01VEG01,PAPA WAFFLE SAZ. 10 KG (4x2.5 kg), 	680.00 , 	680.00 , 	680.00 , 	680.00 , 	680.00 ,,,,,,,,
MEN VLP,01WER12,102419,'102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	291.29 , 	291.29 , 	255.06 , 	255.06 , 	255.06 ,,,,,,,,
MEN VLP,01WER14,102211,'102211 - PAPA DELGADA 1/4. (4x 2.5 Kg), 	295.35 , 	295.35 , 	259.20 , 	259.20 , 	259.20 ,,,,,,,,
MEN VLP,01WER14CC,102310,'102310 - PAPA DELGADA 1/4 C/ COB.  (4x 2.5 Kg), 	354.96 , 	354.96 , 	306.72 , 	306.72 , 	306.72 ,,,,,,,,
MEN VLP,01WER38,102013,'102013 - PAPA RECTA 3/8. (4x 2.5 Kg), 	305.51 , 	305.51 , 	305.51 , 	305.51 , 	305.51 ,,,,,,,,
MEN VLP,01WER38CC,102341,'102341 - PAPA RECTA 3/8 C/ COB. (4x 2.5 Kg), 	282.60 , 	282.60 , 	282.60 , 	282.60 , 	282.60 ,,,,,,,,
MEN VLP,01WER38CCC,104215,'104215 - PAPA RECTA 3/8 C/ COB. Y CAS.  (4x 2.5 Kg), 	346.16 , 	346.16 , 	346.16 , 	346.16 , 	346.16 ,,,,,,,,
MEN VLP,01WERGAJO,114054,'114054 - PAPA GAJO SAZONADO. (4x 2.5 Kg), 	353.84 , 	353.84 , 	327.38 , 	327.38 , 	327.38 ,,,,,,,,
MEN VLP,01WERITA,114405,'114405 - PATATE FETTE, 	417.90 , 	417.90 , 	417.90 , 	417.90 , 	417.90 ,,,,,,,,
MEN VLP,01WERREJIL,105595,'105595 - FROZEN BLACK PEPPER  (4x 2.5 Kg), 	382.66 , 	382.66 , 	382.66 , 	382.66 , 	382.66 ,,,,,,,,
MEN VLP,02ARA01,02ARA01,PICAÑA DE CERDO 1 KG., 	86.00 , 	86.00 , 	86.00 , 	86.00 , 	86.00 ,,,,,,,,
MEN VLP,02ARA02,02ARA02,PICAÑA DE CERDO 500 GR., 	46.00 , 	46.00 , 	46.00 , 	46.00 , 	46.00 ,,,,,,,,
MEN VLP,02ARA03,02ARA03,ARRACHERA MARNADA (CERDO) PREMIUM 1KG., 	80.00 , 	80.00 , 	80.00 , 	80.00 , 	80.00 ,,,,,,,,
MEN VLP,02ARA04,02ARA04,ARRACHERA MARINADA (CERDO) PREMIUM 500 GR., 	43.00 , 	43.00 , 	43.00 , 	43.00 , 	43.00 ,,,,,,,,
MEN VLP,02ARA05,02ARA05,102419 - PAPA ONDULADA 1/2. (4x 2.5 Kg), 	75.00 , 	75.00 , 	75.00 , 	75.00 , 	75.00 ,,,,,,,,
MEN VLP,02ARA06,02ARA06,CARNE AL PASTOR 500 GR., 	37.00 , 	37.00 , 	37.00 , 	37.00 , 	37.00 ,,,,,,,,
MEN VLP,02ARA07,02ARA07,CHISTORRA ORIGINAL 500 GR., 	42.00 , 	42.00 , 	42.00 , 	42.00 , 	42.00 ,,,,,,,,
MEN VLP,02ARA08,02ARA08,CHICHARRON PRENSADO 1 KG. (APROX), 	116.00 , 	116.00 , 	116.00 , 	116.00 , 	116.00 ,,,,,,,,
MEN VLP,02ARA09,02ARA09,CARNE MOLIDA DE CERDO 80/20 - 500GR, 	36.00 , 	36.00 , 	36.00 , 	36.00 , 	36.00 ,,,,,,,,
MEN VLP,02ARA10,02ARA10,CARNE MOLIDA DE RES 80/20 - 500GR., 	47.93 , 	47.93 , 	47.93 , 	47.93 , 	47.93 ,,,,,,,,
MEN VLP,02ARA11,02ARA11,TOCINO AHUMADO RECORTE 1 KG., 	76.00 , 	76.00 , 	76.00 , 	76.00 , 	76.00 ,,,,,,,,
MEN VLP,02ARA12,02ARA12,TOCINO AHUMADO REBANADO 1 KG., 	108.57 , 	108.57 , 	108.57 , 	108.57 , 	108.57 ,,,,,,,,
MEN VLP,02ARA13,02ARA13,CHULETA AHUMADA REBANADA 1 KG., 	83.00 , 	83.00 , 	83.00 , 	83.00 , 	83.00 ,,,,,,,,
MEN VLP,02ARA15,02ARA15,CHORIZO RANCHERO 1 KG., 	65.00 , 	65.00 , 	65.00 , 	65.00 , 	65.00 ,,,,,,,,
MEN VLP,02ARA16,02ARA16,CHICHARRON PRENSADO W, 	116.00 , 	116.00 , 	116.00 , 	116.00 , 	116.00 ,,,,,,,,
MEN VLP,02ATL01,02ATL01,RIB EYE EXCLUSIVE., 	310.00 , 	310.00 , 	310.00 , 	310.00 , 	310.00 ,,,,,,,,
MEN VLP,02ATL07,02ATL07,FLAP MEAT CRP ANGUS, 	450.00 , 	450.00 , 	450.00 , 	450.00 , 	450.00 ,,,,,,,,
MEN VLP,02BEA02,02BEA02,RIB EYE SRA, 	455.00 , 	455.00 , 	455.00 , 	455.00 , 	455.00 ,,,,,,,,
MEN VLP,02BEA16,02BEA16,1117P012 T-BONE 500GR PREMIUM, 	205.00 , 	205.00 , 	205.00 , 	205.00 , 	205.00 ,,,,,,,,
MEN VLP,02CAC01,02CAC01,ARRACHERA  PULPA MARINADA, 	103.00 , 	103.00 , 	103.00 , 	103.00 , 	103.00 ,,,,,,,,
MEN VLP,02CAC03,02CAC03,A1001 ARRACHERA PREMIUM, 	160.00 , 	160.00 , 	160.00 , 	160.00 , 	160.00 ,,,,,,,,
MEN VLP,02CAC04,102341,A1001 ARRACHERA INSIDE, 	205.00 , 	205.00 , 	205.00 , 	205.00 , 	205.00 ,,,,,,,,
MEN VLP,02CSN01,02CSN01,CARNE HAMBURGUESA B.MASTER SIRLOIN 4.5 KG (2 bolsas), 	480.00 , 	480.00 , 	480.00 , 	480.00 , 	480.00 ,,,,,,,,
MEN VLP,02CSN02,02CSN02,CARNE HAMBURGUESA BEEF MASTER ORIGINAL 4.5 KG (2 bolsas), 	460.00 , 	460.00 , 	460.00 , 	460.00 , 	460.00 ,,,,,,,,
MEN VLP,02DBC01,02DBC01,CHAMBERETE s/ HUESO AL VACIO, 	137.00 , 	137.00 , 	137.00 , 	137.00 , 	137.00 ,,,,,,,,
MEN VLP,02DBC03,02DBC03,NEW YORK DE NOVILLO AL VACIO, 	152.50 , 	152.50 , 	152.50 , 	152.50 , 	152.50 ,,,,,,,,
MEN VLP,02DBC06,02DBC06,TOP-SIRLOIN DE NOVILLO AL VACIO, 	191.19 , 	191.19 , 	191.19 , 	191.19 , 	191.19 ,,,,,,,,
MEN VLP,02DBC07,02DBC07,DIEZMILLO SIN HUESO DE NOVILLO, 	153.00 , 	153.00 , 	153.00 , 	153.00 , 	153.00 ,,,,,,,,
MEN VLP,02DBC08,02DBC08,RIB EYE DE NOVILLO AL VACIO, 	265.00 , 	265.00 , 	265.00 , 	265.00 , 	265.00 ,,,,,,,,
MEN VLP,02DBC09,02DBC09,SIRLOIN - AV, 	136.00 , 	136.00 , 	136.00 , 	136.00 , 	136.00 ,,,,,,,,
MEN VLP,02GDA01,02GDA01,HAMBURGUESA PARRILLERA PREM. ARRACHERA 150 gr. (Cj. 4.5 kg.), 	56.00 , 	56.00 , 	56.00 , 	56.00 , 	56.00 ,,,,,,,,
MEN VLP,02GDA02,02GDA02,HAMBURGUESA PARRILLERA PREM. SIRLOIN 150 gr.  (Cj. 4.5 kg.), 	56.00 , 	56.00 , 	56.00 , 	56.00 , 	56.00 ,,,,,,,,
MEN VLP,02JIH01,02JIH01,CHAMBERETE DESHUESADO, 	135.00 , 	135.00 , 	135.00 , 	135.00 , 	135.00 ,,,,,,,,
